threshold,n_detections,n_position,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,8,8,0.99798,291.5990,1,1
0.0111108,8,8,0.99798,291.5990,1,1
0.012345,8,8,0.99798,291.5990,1,1
0.0137163,8,8,0.99798,291.5990,1,1
0.0152399,8,8,0.99798,291.5990,1,1
0.0169327,8,8,0.99798,291.5990,1,1
0.0188136,8,8,0.99798,291.5990,1,1
0.0209034,8,8,0.99798,291.5990,1,1
0.0232253,8,8,0.99798,291.5990,1,1
0.0258052,8,8,0.99798,291.5990,1,1
0.0286716,8,8,0.99798,291.5990,1,1
0.0318565,8,8,0.99798,291.5990,1,1
0.0353951,8,8,0.99798,291.5990,1,1
0.0393268,8,8,0.99798,291.5990,1,1
0.0436952,8,8,0.99798,291.5990,1,1
0.0485488,8,8,0.99798,291.5990,1,1
0.0539416,8,8,0.99798,291.5990,1,1
0.0599335,8,8,0.99798,291.5990,1,1
0.0665909,8,8,0.99798,291.5990,1,1
0.0739878,8,8,0.99596,290.9990,1,1
0.0822063,8,8,0.99596,290.9990,1,1
0.0913378,8,8,0.99596,290.9990,1,1
0.101484,8,8,0.993939,290.3990,1,1
0.112756,8,8,0.993939,290.3990,1,1
0.125281,15,15,0.961616,275.9990,8,1
0.139197,21,21,0.826263,232.1990,14,1
0.15466,23,23,0.593939,159.3990,15,1
0.171839,23,23,0.325253,78.3990,15,1
0.190927,17,17,0.2,46.1990,7,1
0.212135,10,10,0.139394,32.9990,1,1
0.235699,10,10,0.125253,29.5990,1,1
0.26188,9,9,0.109091,24.7990,1,1
0.29097,8,8,0.0969697,22.3990,1,1
0.323291,8,8,0.0888889,21.1990,1,1
0.359202,8,8,0.0868687,20.5990,1,1
0.399102,7,7,0.0787879,18.7990,1,1
0.443434,7,7,0.0747475,17.5990,1,1
0.492691,7,7,0.0707071,16.3990,1,1
0.547419,7,7,0.0686869,15.7990,1,1
0.608226,6,6,0.0646465,14.5990,0,1
0.675788,5,5,0.0505051,9.9990,0,1
0.750854,4,4,0.040404,6.9990,0,1
0.834259,2,2,0.0262626,4.8000,0,1
0.926928,2,2,0.0181818,4.2000,0,1
1.02989,2,2,0.0121212,2.8000,0,1
1.14429,1,1,0.0040404,0.8000,0,1
1.2714,0,0,0,0.0000,0,0
1.41263,0,0,0,0.0000,0,0
1.56954,0,0,0,0.0000,0,0
1.74388,0,0,0,0.0000,0,0
1.93759,0,0,0,0.0000,0,0
2.15282,0,0,0,0.0000,0,0
2.39196,0,0,0,0.0000,0,0
2.65765,0,0,0,0.0000,0,0
2.95287,0,0,0,0.0000,0,0
3.28087,0,0,0,0.0000,0,0
3.64531,0,0,0,0.0000,0,0
4.05023,0,0,0,0.0000,0,0
4.50013,0,0,0,0.0000,0,0
5,0,0,0,0.0000,0,0
