threshold,n_detections,n_yaw,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.005,8,8,0.99798,291.5990,1,1
0.00553443,8,8,0.99798,291.5990,1,1
0.00612598,8,8,0.99798,291.5990,1,1
0.00678076,8,8,0.99798,291.5990,1,1
0.00750552,8,8,0.99798,291.5990,1,1
0.00830775,8,8,0.99798,291.5990,1,1
0.00919573,8,8,0.99798,291.5990,1,1
0.0101786,8,8,0.99798,291.5990,1,1
0.0112666,8,8,0.99798,291.5990,1,1
0.0124708,8,8,0.99798,291.5990,1,1
0.0138038,8,8,0.99798,291.5990,1,1
0.0152792,8,8,0.99798,291.5990,1,1
0.0169123,8,8,0.99798,291.5990,1,1
0.01872,8,8,0.99798,291.5990,1,1
0.0207209,8,8,0.99798,291.5990,1,1
0.0229356,8,8,0.99798,291.5990,1,1
0.0253871,8,8,0.99798,291.5990,1,1
0.0281006,8,8,0.99798,291.5990,1,1
0.0311042,8,8,0.99798,291.5990,1,1
0.0344288,8,8,0.99798,291.5990,1,1
0.0381087,8,8,0.99798,291.5990,1,1
0.042182,8,8,0.99798,291.5990,1,1
0.0466906,8,8,0.99798,291.5990,1,1
0.0516812,8,8,0.99798,291.5990,1,1
0.0572051,8,8,0.99798,291.5990,1,1
0.0633195,8,8,0.99798,291.5990,1,1
0.0700875,8,8,0.99798,291.5990,1,1
0.0775788,8,8,0.99596,290.9990,1,1
0.0858709,8,8,0.99596,290.9990,1,1
0.0950492,8,8,0.99596,290.9990,1,1
0.105209,8,8,0.993939,290.3990,1,1
0.116454,8,8,0.991919,289.7990,1,1
0.128901,10,10,0.979798,284.9990,3,1
0.142679,22,22,0.921212,258.3990,15,1
0.157929,36,36,0.533333,122.3990,29,1
0.174809,11,11,0.224242,54.7990,2,1
0.193494,11,11,0.181818,45.5990,1,1
0.214176,10,10,0.167677,41.3990,1,1
0.237068,9,9,0.147475,35.9990,1,1
0.262407,9,9,0.137374,33.7990,1,1
0.290455,9,9,0.133333,32.5990,1,1
0.3215,11,11,0.123232,28.3990,1,1
0.355864,8,8,0.105051,23.5990,1,1
0.393901,8,8,0.0949495,22.3990,1,1
0.436003,8,8,0.0868687,19.9990,1,1
0.482605,8,8,0.0868687,19.9990,1,1
0.534189,7,7,0.0787879,18.1990,1,1
0.591286,7,7,0.0707071,15.5990,1,1
0.654486,7,7,0.0666667,14.3990,1,1
0.724441,7,7,0.0646465,13.7990,1,1
0.801873,7,7,0.0585859,11.9990,1,1
0.887582,6,6,0.0545455,10.7990,0,1
0.982451,5,5,0.0484848,9.3990,0,1
1.08746,4,4,0.0343434,6.9990,0,1
1.20369,2,2,0.0222222,4.8000,0,1
1.33235,2,2,0.0222222,4.8000,0,1
1.47476,2,2,0.0181818,4.2000,0,1
1.63239,2,2,0.0181818,4.2000,0,1
1.80687,2,2,0.0121212,2.8000,0,1
2,1,1,0.00808081,1.6000,0,1
