threshold,n_detections,n_amcl_vs_odom,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,87,87,0.55668,112.8020,74,1
0.011015,83,83,0.532389,108.0020,70,1
0.0121331,85,85,0.502024,98.2020,72,1
0.0133646,82,82,0.449393,84.2020,69,1
0.0147211,78,78,0.40081,72.2020,66,1
0.0162153,72,72,0.3583,63.4020,62,1
0.0178612,66,66,0.313765,53.6020,57,1
0.0196741,60,60,0.285425,49.0020,52,1
0.0216711,54,54,0.259109,44.8000,48,1
0.0238707,45,45,0.214575,36.8000,41,1
0.0262937,37,37,0.17004,27.6000,33,1
0.0289625,34,34,0.149798,23.6000,30,1
0.0319022,24,24,0.115385,19.6000,22,1
0.0351404,21,21,0.0951417,15.2000,20,1
0.0387072,17,17,0.0809717,13.6000,16,1
0.042636,15,15,0.0728745,12.4000,14,1
0.0469636,14,14,0.062753,10.2000,13,1
0.0517305,13,13,0.0607287,10.2000,12,1
0.0569812,11,11,0.0526316,9.0000,10,1
0.0627649,11,11,0.0526316,9.0000,10,1
0.0691357,10,10,0.048583,8.0000,9,1
0.076153,10,10,0.0465587,7.4000,9,1
0.0838827,10,10,0.0465587,7.4000,9,1
0.0923969,10,10,0.0465587,7.4000,9,1
0.101775,9,9,0.0404858,6.2000,8,1
0.112106,9,9,0.0404858,6.2000,8,1
0.123485,8,8,0.0384615,6.2000,7,1
0.136018,8,8,0.034413,5.0000,7,1
0.149825,6,6,0.0263158,4.0000,5,1
0.165032,6,6,0.0202429,2.2000,5,1
0.181783,6,6,0.0202429,2.2000,5,1
0.200234,5,5,0.0182186,2.2000,4,1
0.220558,5,5,0.0161943,1.8000,4,1
0.242945,5,5,0.0161943,1.8000,4,1
0.267605,3,3,0.0101215,1.2000,2,1
0.294767,3,3,0.00809717,0.6000,2,1
0.324686,3,3,0.00809717,0.6000,2,1
0.357642,3,3,0.00809717,0.6000,2,1
0.393944,1,1,0.00202429,0.0000,0,1
0.433929,1,1,0.00202429,0.0000,0,1
0.477974,1,1,0.00202429,0.0000,0,1
0.526489,0,0,0,0.0000,0,0
0.579929,0,0,0,0.0000,0,0
0.638792,0,0,0,0.0000,0,0
0.703631,0,0,0,0.0000,0,0
0.77505,0,0,0,0.0000,0,0
0.853719,0,0,0,0.0000,0,0
0.940373,0,0,0,0.0000,0,0
1.03582,0,0,0,0.0000,0,0
1.14096,0,0,0,0.0000,0,0
1.25677,0,0,0,0.0000,0,0
1.38433,0,0,0,0.0000,0,0
1.52484,0,0,0,0.0000,0,0
1.67962,0,0,0,0.0000,0,0
1.8501,0,0,0,0.0000,0,0
2.03789,0,0,0,0.0000,0,0
2.24474,0,0,0,0.0000,0,0
2.47258,0,0,0,0.0000,0,0
2.72355,0,0,0,0.0000,0,0
3,0,0,0,0.0000,0,0
