threshold,n_detections,n_/scan_amcl,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
1.1,1,1,0.00064433,0.0000,0,1
1.20141,1,1,0.00064433,0.0000,0,1
1.31217,1,1,0.00064433,0.0000,0,1
1.43314,1,1,0.00064433,0.0000,0,1
1.56527,1,1,0.00064433,0.0000,0,1
1.70957,1,1,0.00064433,0.0000,0,1
1.86718,1,1,0.00064433,0.0000,0,1
2.03932,1,1,0.00064433,0.0000,0,1
2.22733,1,1,0.00064433,0.0000,0,1
2.43267,1,1,0.00064433,0.0000,0,1
2.65694,1,1,0.00064433,0.0000,0,1
2.90189,1,1,0.00064433,0.0000,0,1
3.16942,1,1,0.00064433,0.0000,0,1
3.46162,1,1,0.00064433,0.0000,0,1
3.78075,1,1,0.00064433,0.0000,0,1
4.1293,1,1,0.00064433,0.0000,0,1
4.50999,1,1,0.00064433,0.0000,0,1
4.92578,1,1,0.00064433,0.0000,0,1
5.37989,1,1,0.00064433,0.0000,0,1
5.87587,1,1,0.00064433,0.0000,0,1
6.41758,1,1,0.00064433,0.0000,0,1
7.00923,1,1,0.00064433,0.0000,0,1
7.65543,1,1,0.00064433,0.0000,0,1
8.36119,1,1,0.00064433,0.0000,0,1
9.13203,1,1,0.00064433,0.0000,0,1
9.97393,1,1,0.00064433,0.0000,0,1
10.8934,1,1,0.00064433,0.0000,0,1
11.8977,1,1,0.00064433,0.0000,0,1
12.9946,1,1,0.00064433,0.0000,0,1
14.1926,1,1,0.00064433,0.0000,0,1
15.501,1,1,0.00064433,0.0000,0,1
16.9301,1,1,0.00064433,0.0000,0,1
18.4909,1,1,0.00064433,0.0000,0,1
20.1956,1,1,0.00064433,0.0000,0,1
22.0575,1,1,0.00064433,0.0000,0,1
24.091,1,1,0.00064433,0.0000,0,1
26.312,1,1,0.00064433,0.0000,0,1
28.7378,1,1,0.00064433,0.0000,0,1
31.3872,1,1,0.00064433,0.0000,0,1
34.2808,1,1,0.00064433,0.0000,0,1
37.4412,1,1,0.00064433,0.0000,0,1
40.893,1,1,0.00064433,0.0000,0,1
44.663,1,1,0.00064433,0.0000,0,1
48.7806,1,1,0.00064433,0.0000,0,1
53.2778,1,1,0.00064433,0.0000,0,1
58.1895,1,1,0.00064433,0.0000,0,1
63.5541,1,1,0.00064433,0.0000,0,1
69.4133,1,1,0.00064433,0.0000,0,1
75.8127,1,1,0.00064433,0.0000,0,1
82.802,1,1,0.00064433,0.0000,0,1
90.4356,1,1,0.00064433,0.0000,0,1
98.7731,1,1,0.00064433,0.0000,0,1
107.879,1,1,0.00064433,0.0000,0,1
117.825,1,1,0.00064433,0.0000,0,1
128.687,0,0,0,0.0000,0,0
140.551,0,0,0,0.0000,0,0
153.509,0,0,0,0.0000,0,0
167.661,0,0,0,0.0000,0,0
183.118,0,0,0,0.0000,0,0
200,0,0,0,0.0000,0,0
