threshold,n_detections,n_map->odom,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,311,301,10,0.845973,329.2200,270,1
0.0575469,278,266,12,0.838031,326.0700,241,1
0.0662329,241,230,11,0.831312,324.9140,208,1
0.0762299,202,189,13,0.824068,323.0140,178,1
0.0877359,170,156,14,0.818571,321.8580,149,1
0.100979,138,124,14,0.812724,319.3760,122,1
0.11622,105,92,13,0.804171,314.7940,90,1
0.133762,119,69,50,0.0151846,13.0100,107,1
0.153952,101,49,52,0.012392,10.3580,92,1
0.177189,85,34,51,0.0106467,10.2560,78,1
0.203934,76,27,49,0.00855223,9.7120,70,1
0.234715,73,24,49,0.00811589,8.9120,70,1
0.270142,69,20,49,0.00759229,8.1120,68,1
0.310917,66,17,49,0.00715595,7.3120,66,0
0.357846,63,14,49,0.00680688,6.9120,63,0
0.411858,64,15,49,0.00663234,5.7120,64,0
0.474023,53,12,41,0.00514879,2.8560,53,0
0.545572,9,8,1,0.000785409,0.0000,9,0
0.627919,8,7,1,0.000698141,0.0000,8,0
0.722696,8,7,1,0.000698141,0.0000,8,0
0.831778,6,5,1,0.000523606,0.0000,6,0
0.957324,4,3,1,0.000349071,0.0000,4,0
1.10182,4,3,1,0.000349071,0.0000,4,0
1.26813,4,3,1,0.000349071,0.0000,4,0
1.45954,2,1,1,0.000174535,0.0000,2,0
1.67983,2,1,1,0.000174535,0.0000,2,0
1.93339,2,1,1,0.000174535,0.0000,2,0
2.22521,2,1,1,0.000174535,0.0000,2,0
2.56107,2,1,1,0.000174535,0.0000,2,0
2.94764,1,0,1,8.72676e-05,0.0000,1,0
3.39255,1,0,1,8.72676e-05,0.0000,1,0
3.90461,1,0,1,8.72676e-05,0.0000,1,0
4.49396,1,0,1,8.72676e-05,0.0000,1,0
5.17227,1,0,1,8.72676e-05,0.0000,1,0
5.95297,1,0,1,8.72676e-05,0.0000,1,0
6.85149,1,0,1,8.72676e-05,0.0000,1,0
7.88564,1,0,1,8.72676e-05,0.0000,1,0
9.07588,1,0,1,8.72676e-05,0.0000,1,0
10.4458,1,0,1,8.72676e-05,0.0000,1,0
12.0224,1,0,1,8.72676e-05,0.0000,1,0
13.8371,1,0,1,8.72676e-05,0.0000,1,0
15.9256,1,0,1,8.72676e-05,0.0000,1,0
18.3294,1,0,1,8.72676e-05,0.0000,1,0
21.096,1,0,1,8.72676e-05,0.0000,1,0
24.2802,1,0,1,8.72676e-05,0.0000,1,0
27.945,0,0,0,0,0.0000,0,0
32.1629,0,0,0,0,0.0000,0,0
37.0175,0,0,0,0,0.0000,0,0
42.6049,0,0,0,0,0.0000,0,0
49.0356,0,0,0,0,0.0000,0,0
56.4369,0,0,0,0,0.0000,0,0
64.9554,0,0,0,0,0.0000,0,0
74.7596,0,0,0,0,0.0000,0,0
86.0436,0,0,0,0,0.0000,0,0
99.0309,0,0,0,0,0.0000,0,0
113.978,0,0,0,0,0.0000,0,0
131.182,0,0,0,0,0.0000,0,0
150.982,0,0,0,0,0.0000,0,0
173.771,0,0,0,0,0.0000,0,0
200,0,0,0,0,0.0000,0,0
