threshold,n_detections,n_map->odom,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,151,147,4,0.857492,332.4220,63,3
0.0575469,126,122,4,0.854961,331.9540,48,3
0.0662329,102,98,4,0.85243,331.5540,35,3
0.0762299,79,76,3,0.849987,330.7200,22,3
0.0877359,63,60,3,0.84798,330.7200,13,3
0.100979,45,42,3,0.845362,330.5840,4,3
0.11622,37,34,3,0.843005,330.5500,0,3
0.133762,30,27,3,0.840213,330.4480,0,3
0.153952,28,25,3,0.837595,329.9800,0,3
0.177189,27,24,3,0.834279,329.0440,0,3
0.203934,24,18,6,0.830264,327.1060,0,3
0.234715,20,14,6,0.824941,326.4940,0,3
0.270142,20,11,9,0.817698,323.6120,0,3
0.310917,20,10,10,0.812549,322.1160,0,3
0.357846,45,9,36,0.0437211,25.0580,2,2
0.411858,41,6,35,0.0292347,13.3280,1,2
0.474023,36,6,30,0.0213806,7.4800,0,2
0.545572,24,5,19,0.0143119,5.6780,0,2
0.627919,10,4,6,0.00925037,4.7260,0,2
0.722696,8,3,5,0.00558513,1.9040,0,1
0.831778,7,3,4,0.00331617,1.3600,0,1
0.957324,3,2,1,0.00148355,0.4760,0,1
1.10182,2,2,0,0.000174535,0.0000,0,1
1.26813,2,2,0,0.000174535,0.0000,0,1
1.45954,2,2,0,0.000174535,0.0000,0,1
1.67983,1,1,0,8.72676e-05,0.0000,0,1
1.93339,1,1,0,8.72676e-05,0.0000,0,1
2.22521,0,0,0,0,0.0000,0,0
2.56107,0,0,0,0,0.0000,0,0
2.94764,0,0,0,0,0.0000,0,0
3.39255,0,0,0,0,0.0000,0,0
3.90461,0,0,0,0,0.0000,0,0
4.49396,0,0,0,0,0.0000,0,0
5.17227,0,0,0,0,0.0000,0,0
5.95297,0,0,0,0,0.0000,0,0
6.85149,0,0,0,0,0.0000,0,0
7.88564,0,0,0,0,0.0000,0,0
9.07588,0,0,0,0,0.0000,0,0
10.4458,0,0,0,0,0.0000,0,0
12.0224,0,0,0,0,0.0000,0,0
13.8371,0,0,0,0,0.0000,0,0
15.9256,0,0,0,0,0.0000,0,0
18.3294,0,0,0,0,0.0000,0,0
21.096,0,0,0,0,0.0000,0,0
24.2802,0,0,0,0,0.0000,0,0
27.945,0,0,0,0,0.0000,0,0
32.1629,0,0,0,0,0.0000,0,0
37.0175,0,0,0,0,0.0000,0,0
42.6049,0,0,0,0,0.0000,0,0
49.0356,0,0,0,0,0.0000,0,0
56.4369,0,0,0,0,0.0000,0,0
64.9554,0,0,0,0,0.0000,0,0
74.7596,0,0,0,0,0.0000,0,0
86.0436,0,0,0,0,0.0000,0,0
99.0309,0,0,0,0,0.0000,0,0
113.978,0,0,0,0,0.0000,0,0
131.182,0,0,0,0,0.0000,0,0
150.982,0,0,0,0,0.0000,0,0
173.771,0,0,0,0,0.0000,0,0
200,0,0,0,0,0.0000,0,0
