threshold,n_detections,n_amcl_vs_odom,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,94,94,0.548583,105.3970,85,1
0.0112421,91,91,0.495951,90.9970,81,1
0.0126385,83,83,0.437247,77.9980,74,1
0.0142083,74,74,0.392713,70.5980,66,1
0.0159731,68,68,0.350202,61.7980,61,1
0.0179571,60,60,0.291498,49.1980,56,1
0.0201876,53,53,0.244939,39.6000,50,1
0.0226951,45,45,0.196356,30.4000,43,1
0.0255141,36,36,0.168016,27.4000,34,1
0.0286832,28,28,0.129555,20.6000,27,1
0.0322459,20,20,0.105263,18.2000,20,0
0.0362512,19,19,0.0890688,14.0000,19,0
0.0407539,18,18,0.082996,13.0000,18,0
0.045816,17,17,0.0728745,10.6000,17,0
0.0515068,16,16,0.0587045,7.2000,16,0
0.0579044,12,12,0.048583,6.4000,12,0
0.0650968,11,11,0.0425101,5.6000,11,0
0.0731824,10,10,0.0404858,5.6000,10,0
0.0822724,8,8,0.0364372,5.6000,8,0
0.0924915,7,7,0.0323887,5.2000,7,0
0.10398,4,4,0.0242915,4.6000,4,0
0.116895,3,3,0.0202429,4.2000,3,0
0.131415,2,2,0.0182186,4.2000,2,0
0.147738,2,2,0.0161943,3.6000,2,0
0.166088,2,2,0.01417,3.0000,2,0
0.186718,2,2,0.0121457,2.4000,2,0
0.20991,1,1,0.00809717,1.8000,1,0
0.235983,1,1,0.00404858,0.6000,1,0
0.265295,1,1,0.00202429,0.0000,1,0
0.298247,1,1,0.00202429,0.0000,1,0
0.335292,0,0,0,0.0000,0,0
0.376939,0,0,0,0.0000,0,0
0.423759,0,0,0,0.0000,0,0
0.476394,0,0,0,0.0000,0,0
0.535567,0,0,0,0.0000,0,0
0.602089,0,0,0,0.0000,0,0
0.676875,0,0,0,0.0000,0,0
0.76095,0,0,0,0.0000,0,0
0.855467,0,0,0,0.0000,0,0
0.961725,0,0,0,0.0000,0,0
1.08118,0,0,0,0.0000,0,0
1.21547,0,0,0,0.0000,0,0
1.36645,0,0,0,0.0000,0,0
1.53617,0,0,0,0.0000,0,0
1.72698,0,0,0,0.0000,0,0
1.94149,0,0,0,0.0000,0,0
2.18264,0,0,0,0.0000,0,0
2.45375,0,0,0,0.0000,0,0
2.75853,0,0,0,0.0000,0,0
3.10117,0,0,0,0.0000,0,0
3.48637,0,0,0,0.0000,0,0
3.91941,0,0,0,0.0000,0,0
4.40624,0,0,0,0.0000,0,0
4.95354,0,0,0,0.0000,0,0
5.56881,0,0,0,0.0000,0,0
6.26052,0,0,0,0.0000,0,0
7.03814,0,0,0,0.0000,0,0
7.91234,0,0,0,0.0000,0,0
8.89513,0,0,0,0.0000,0,0
10,0,0,0,0.0000,0,0
