threshold,n_detections,n_/scan_amcl,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
1.1,1,1,0.00064433,0.0000,1,0
1.20141,1,1,0.00064433,0.0000,1,0
1.31217,1,1,0.00064433,0.0000,1,0
1.43314,1,1,0.00064433,0.0000,1,0
1.56527,1,1,0.00064433,0.0000,1,0
1.70957,1,1,0.00064433,0.0000,1,0
1.86718,1,1,0.00064433,0.0000,1,0
2.03932,1,1,0.00064433,0.0000,1,0
2.22733,1,1,0.00064433,0.0000,1,0
2.43267,1,1,0.00064433,0.0000,1,0
2.65694,1,1,0.00064433,0.0000,1,0
2.90189,1,1,0.00064433,0.0000,1,0
3.16942,1,1,0.00064433,0.0000,1,0
3.46162,1,1,0.00064433,0.0000,1,0
3.78075,1,1,0.00064433,0.0000,1,0
4.1293,1,1,0.00064433,0.0000,1,0
4.50999,1,1,0.00064433,0.0000,1,0
4.92578,1,1,0.00064433,0.0000,1,0
5.37989,1,1,0.00064433,0.0000,1,0
5.87587,1,1,0.00064433,0.0000,1,0
6.41758,1,1,0.00064433,0.0000,1,0
7.00923,1,1,0.00064433,0.0000,1,0
7.65543,1,1,0.00064433,0.0000,1,0
8.36119,1,1,0.00064433,0.0000,1,0
9.13203,1,1,0.00064433,0.0000,1,0
9.97393,1,1,0.00064433,0.0000,1,0
10.8934,1,1,0.00064433,0.0000,1,0
11.8977,1,1,0.00064433,0.0000,1,0
12.9946,1,1,0.00064433,0.0000,1,0
14.1926,1,1,0.00064433,0.0000,1,0
15.501,1,1,0.00064433,0.0000,1,0
16.9301,1,1,0.00064433,0.0000,1,0
18.4909,1,1,0.00064433,0.0000,1,0
20.1956,1,1,0.00064433,0.0000,1,0
22.0575,1,1,0.00064433,0.0000,1,0
24.091,1,1,0.00064433,0.0000,1,0
26.312,1,1,0.00064433,0.0000,1,0
28.7378,1,1,0.00064433,0.0000,1,0
31.3872,1,1,0.00064433,0.0000,1,0
34.2808,1,1,0.00064433,0.0000,1,0
37.4412,1,1,0.00064433,0.0000,1,0
40.893,1,1,0.00064433,0.0000,1,0
44.663,1,1,0.00064433,0.0000,1,0
48.7806,1,1,0.00064433,0.0000,1,0
53.2778,1,1,0.00064433,0.0000,1,0
58.1895,1,1,0.00064433,0.0000,1,0
63.5541,1,1,0.00064433,0.0000,1,0
69.4133,1,1,0.00064433,0.0000,1,0
75.8127,1,1,0.00064433,0.0000,1,0
82.802,1,1,0.00064433,0.0000,1,0
90.4356,1,1,0.00064433,0.0000,1,0
98.7731,1,1,0.00064433,0.0000,1,0
107.879,1,1,0.00064433,0.0000,1,0
117.825,1,1,0.00064433,0.0000,1,0
128.687,0,0,0,0.0000,0,0
140.551,0,0,0,0.0000,0,0
153.509,0,0,0,0.0000,0,0
167.661,0,0,0,0.0000,0,0
183.118,0,0,0,0.0000,0,0
200,0,0,0,0.0000,0,0
