threshold,n_detections,n_/scan,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
1.1,1,1,0.000587544,0.0000,,
1.20141,0,0,0,0.0000,,
1.31217,0,0,0,0.0000,,
1.43314,0,0,0,0.0000,,
1.56527,0,0,0,0.0000,,
1.70957,0,0,0,0.0000,,
1.86718,0,0,0,0.0000,,
2.03932,0,0,0,0.0000,,
2.22733,0,0,0,0.0000,,
2.43267,0,0,0,0.0000,,
2.65694,0,0,0,0.0000,,
2.90189,0,0,0,0.0000,,
3.16942,0,0,0,0.0000,,
3.46162,0,0,0,0.0000,,
3.78075,0,0,0,0.0000,,
4.1293,0,0,0,0.0000,,
4.50999,0,0,0,0.0000,,
4.92578,0,0,0,0.0000,,
5.37989,0,0,0,0.0000,,
5.87587,0,0,0,0.0000,,
6.41758,0,0,0,0.0000,,
7.00923,0,0,0,0.0000,,
7.65543,0,0,0,0.0000,,
8.36119,0,0,0,0.0000,,
9.13203,0,0,0,0.0000,,
9.97393,0,0,0,0.0000,,
10.8934,0,0,0,0.0000,,
11.8977,0,0,0,0.0000,,
12.9946,0,0,0,0.0000,,
14.1926,0,0,0,0.0000,,
15.501,0,0,0,0.0000,,
16.9301,0,0,0,0.0000,,
18.4909,0,0,0,0.0000,,
20.1956,0,0,0,0.0000,,
22.0575,0,0,0,0.0000,,
24.091,0,0,0,0.0000,,
26.312,0,0,0,0.0000,,
28.7378,0,0,0,0.0000,,
31.3872,0,0,0,0.0000,,
34.2808,0,0,0,0.0000,,
37.4412,0,0,0,0.0000,,
40.893,0,0,0,0.0000,,
44.663,0,0,0,0.0000,,
48.7806,0,0,0,0.0000,,
53.2778,0,0,0,0.0000,,
58.1895,0,0,0,0.0000,,
63.5541,0,0,0,0.0000,,
69.4133,0,0,0,0.0000,,
75.8127,0,0,0,0.0000,,
82.802,0,0,0,0.0000,,
90.4356,0,0,0,0.0000,,
98.7731,0,0,0,0.0000,,
107.879,0,0,0,0.0000,,
117.825,0,0,0,0.0000,,
128.687,0,0,0,0.0000,,
140.551,0,0,0,0.0000,,
153.509,0,0,0,0.0000,,
167.661,0,0,0,0.0000,,
183.118,0,0,0,0.0000,,
200,0,0,0,0.0000,,
