threshold,n_detections,n_position,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,1,1,1,59.9000,0,2
0.0111108,1,1,1,59.9000,0,2
0.012345,1,1,1,59.9000,0,2
0.0137163,1,1,1,59.9000,0,2
0.0152399,1,1,1,59.9000,0,2
0.0169327,1,1,1,59.9000,0,2
0.0188136,1,1,1,59.9000,0,2
0.0209034,1,1,1,59.9000,0,2
0.0232253,1,1,1,59.9000,0,2
0.0258052,1,1,1,59.9000,0,2
0.0286716,1,1,1,59.9000,0,2
0.0318565,1,1,1,59.9000,0,2
0.0353951,1,1,1,59.9000,0,2
0.0393268,1,1,1,59.9000,0,2
0.0436952,1,1,1,59.9000,0,2
0.0485488,1,1,1,59.9000,0,2
0.0539416,1,1,0.05,2.9000,0,1
0.0599335,1,1,0.05,2.9000,0,1
0.0665909,1,1,0.05,2.9000,0,1
0.0739878,1,1,0.05,2.9000,0,1
0.0822063,1,1,0.05,2.9000,0,1
0.0913378,1,1,0.05,2.9000,0,1
0.101484,1,1,0.05,2.9000,0,1
0.112756,1,1,0.05,2.9000,0,1
0.125281,1,1,0.05,2.9000,0,1
0.139197,1,1,0.05,2.9000,0,1
0.15466,1,1,0.05,2.9000,0,1
0.171839,1,1,0.05,2.9000,0,1
0.190927,1,1,0.05,2.9000,0,1
0.212135,1,1,0.05,2.9000,0,1
0.235699,1,1,0.05,2.9000,0,1
0.26188,1,1,0.05,2.9000,0,1
0.29097,1,1,0.05,2.9000,0,1
0.323291,1,1,0.05,2.9000,0,1
0.359202,1,1,0.05,2.9000,0,1
0.399102,1,1,0.05,2.9000,0,1
0.443434,1,1,0.05,2.9000,0,1
0.492691,1,1,0.05,2.9000,0,1
0.547419,1,1,0.05,2.9000,0,1
0.608226,1,1,0.05,2.9000,0,1
0.675788,1,1,0.05,2.9000,0,1
0.750854,1,1,0.05,2.9000,0,1
0.834259,0,0,0,0.0000,0,0
0.926928,0,0,0,0.0000,0,0
1.02989,0,0,0,0.0000,0,0
1.14429,0,0,0,0.0000,0,0
1.2714,0,0,0,0.0000,0,0
1.41263,0,0,0,0.0000,0,0
1.56954,0,0,0,0.0000,0,0
1.74388,0,0,0,0.0000,0,0
1.93759,0,0,0,0.0000,0,0
2.15282,0,0,0,0.0000,0,0
2.39196,0,0,0,0.0000,0,0
2.65765,0,0,0,0.0000,0,0
2.95287,0,0,0,0.0000,0,0
3.28087,0,0,0,0.0000,0,0
3.64531,0,0,0,0.0000,0,0
4.05023,0,0,0,0.0000,0,0
4.50013,0,0,0,0.0000,0,0
5,0,0,0,0.0000,0,0
