threshold,n_detections,n_yaw,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.005,1,1,1,59.9000,0,2
0.00553443,1,1,1,59.9000,0,2
0.00612598,1,1,1,59.9000,0,2
0.00678076,1,1,1,59.9000,0,2
0.00750552,1,1,1,59.9000,0,2
0.00830775,1,1,1,59.9000,0,2
0.00919573,1,1,1,59.9000,0,2
0.0101786,1,1,1,59.9000,0,2
0.0112666,1,1,1,59.9000,0,2
0.0124708,1,1,1,59.9000,0,2
0.0138038,1,1,1,59.9000,0,2
0.0152792,1,1,1,59.9000,0,2
0.0169123,1,1,1,59.9000,0,2
0.01872,1,1,1,59.9000,0,2
0.0207209,1,1,1,59.9000,0,2
0.0229356,1,1,1,59.9000,0,2
0.0253871,1,1,0.05,2.9000,0,1
0.0281006,1,1,0.05,2.9000,0,1
0.0311042,1,1,0.05,2.9000,0,1
0.0344288,1,1,0.05,2.9000,0,1
0.0381087,1,1,0.05,2.9000,0,1
0.042182,1,1,0.05,2.9000,0,1
0.0466906,1,1,0.05,2.9000,0,1
0.0516812,1,1,0.05,2.9000,0,1
0.0572051,1,1,0.05,2.9000,0,1
0.0633195,1,1,0.05,2.9000,0,1
0.0700875,1,1,0.05,2.9000,0,1
0.0775788,1,1,0.05,2.9000,0,1
0.0858709,1,1,0.05,2.9000,0,1
0.0950492,1,1,0.05,2.9000,0,1
0.105209,1,1,0.05,2.9000,0,1
0.116454,1,1,0.05,2.9000,0,1
0.128901,1,1,0.05,2.9000,0,1
0.142679,1,1,0.05,2.9000,0,1
0.157929,1,1,0.05,2.9000,0,1
0.174809,1,1,0.05,2.9000,0,1
0.193494,1,1,0.05,2.9000,0,1
0.214176,1,1,0.05,2.9000,0,1
0.237068,1,1,0.05,2.9000,0,1
0.262407,1,1,0.05,2.9000,0,1
0.290455,1,1,0.05,2.9000,0,1
0.3215,1,1,0.05,2.9000,0,1
0.355864,1,1,0.05,2.9000,0,1
0.393901,1,1,0.05,2.9000,0,1
0.436003,0,0,0,0.0000,0,0
0.482605,0,0,0,0.0000,0,0
0.534189,0,0,0,0.0000,0,0
0.591286,0,0,0,0.0000,0,0
0.654486,0,0,0,0.0000,0,0
0.724441,0,0,0,0.0000,0,0
0.801873,0,0,0,0.0000,0,0
0.887582,0,0,0,0.0000,0,0
0.982451,0,0,0,0.0000,0,0
1.08746,0,0,0,0.0000,0,0
1.20369,0,0,0,0.0000,0,0
1.33235,0,0,0,0.0000,0,0
1.47476,0,0,0,0.0000,0,0
1.63239,0,0,0,0.0000,0,0
1.80687,0,0,0,0.0000,0,0
2,0,0,0,0.0000,0,0
