threshold,n_detections,n_amcl_vs_odom,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,1,1,0.0344828,1.9000,0,1
0.0112421,1,1,0.0344828,1.9000,0,1
0.0126385,1,1,0.0344828,1.9000,0,1
0.0142083,1,1,0.0344828,1.9000,0,1
0.0159731,1,1,0.0344828,1.9000,0,1
0.0179571,1,1,0.0344828,1.9000,0,1
0.0201876,1,1,0.0344828,1.9000,0,1
0.0226951,1,1,0.0344828,1.9000,0,1
0.0255141,1,1,0.0344828,1.9000,0,1
0.0286832,1,1,0.0344828,1.9000,0,1
0.0322459,1,1,0.0344828,1.9000,0,1
0.0362512,1,1,0.0344828,1.9000,0,1
0.0407539,1,1,0.0344828,1.9000,0,1
0.045816,1,1,0.0344828,1.9000,0,1
0.0515068,1,1,0.0344828,1.9000,0,1
0.0579044,1,1,0.0344828,1.9000,0,1
0.0650968,1,1,0.0344828,1.9000,0,1
0.0731824,1,1,0.0344828,1.9000,0,1
0.0822724,1,1,0.0344828,1.9000,0,1
0.0924915,1,1,0.0344828,1.9000,0,1
0.10398,1,1,0.0344828,1.9000,0,1
0.116895,1,1,0.0344828,1.9000,0,1
0.131415,1,1,0.0344828,1.9000,0,1
0.147738,1,1,0.0344828,1.9000,0,1
0.166088,1,1,0.0344828,1.9000,0,1
0.186718,1,1,0.0344828,1.9000,0,1
0.20991,1,1,0.0344828,1.9000,0,1
0.235983,1,1,0.0344828,1.9000,0,1
0.265295,1,1,0.0344828,1.9000,0,1
0.298247,1,1,0.0344828,1.9000,0,1
0.335292,1,1,0.0344828,1.9000,0,1
0.376939,1,1,0.0344828,1.9000,0,1
0.423759,1,1,0.0344828,1.9000,0,1
0.476394,1,1,0.0344828,1.9000,0,1
0.535567,1,1,0.0344828,1.9000,0,1
0.602089,1,1,0.0344828,1.9000,0,1
0.676875,1,1,0.0344828,1.9000,0,1
0.76095,1,1,0.0344828,1.9000,0,1
0.855467,1,1,0.0344828,1.9000,0,1
0.961725,1,1,0.0344828,1.9000,0,1
1.08118,1,1,0.0344828,1.9000,0,1
1.21547,1,1,0.0344828,1.9000,0,1
1.36645,1,1,0.0344828,1.9000,0,1
1.53617,1,1,0.0344828,1.9000,0,1
1.72698,1,1,0.0344828,1.9000,0,1
1.94149,1,1,0.0344828,1.9000,0,1
2.18264,0,0,0,0.0000,0,0
2.45375,0,0,0,0.0000,0,0
2.75853,0,0,0,0.0000,0,0
3.10117,0,0,0,0.0000,0,0
3.48637,0,0,0,0.0000,0,0
3.91941,0,0,0,0.0000,0,0
4.40624,0,0,0,0.0000,0,0
4.95354,0,0,0,0.0000,0,0
5.56881,0,0,0,0.0000,0,0
6.26052,0,0,0,0.0000,0,0
7.03814,0,0,0,0.0000,0,0
7.91234,0,0,0,0.0000,0,0
8.89513,0,0,0,0.0000,0,0
10,0,0,0,0.0000,0,0
