threshold,n_detections,n_amcl_vs_odom,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.01,0,0,0,0.0000,0,0
0.011015,0,0,0,0.0000,0,0
0.0121331,0,0,0,0.0000,0,0
0.0133646,0,0,0,0.0000,0,0
0.0147211,0,0,0,0.0000,0,0
0.0162153,0,0,0,0.0000,0,0
0.0178612,0,0,0,0.0000,0,0
0.0196741,0,0,0,0.0000,0,0
0.0216711,0,0,0,0.0000,0,0
0.0238707,0,0,0,0.0000,0,0
0.0262937,0,0,0,0.0000,0,0
0.0289625,0,0,0,0.0000,0,0
0.0319022,0,0,0,0.0000,0,0
0.0351404,0,0,0,0.0000,0,0
0.0387072,0,0,0,0.0000,0,0
0.042636,0,0,0,0.0000,0,0
0.0469636,0,0,0,0.0000,0,0
0.0517305,0,0,0,0.0000,0,0
0.0569812,0,0,0,0.0000,0,0
0.0627649,0,0,0,0.0000,0,0
0.0691357,0,0,0,0.0000,0,0
0.076153,0,0,0,0.0000,0,0
0.0838827,0,0,0,0.0000,0,0
0.0923969,0,0,0,0.0000,0,0
0.101775,0,0,0,0.0000,0,0
0.112106,0,0,0,0.0000,0,0
0.123485,0,0,0,0.0000,0,0
0.136018,0,0,0,0.0000,0,0
0.149825,0,0,0,0.0000,0,0
0.165032,0,0,0,0.0000,0,0
0.181783,0,0,0,0.0000,0,0
0.200234,0,0,0,0.0000,0,0
0.220558,0,0,0,0.0000,0,0
0.242945,0,0,0,0.0000,0,0
0.267605,0,0,0,0.0000,0,0
0.294767,0,0,0,0.0000,0,0
0.324686,0,0,0,0.0000,0,0
0.357642,0,0,0,0.0000,0,0
0.393944,0,0,0,0.0000,0,0
0.433929,0,0,0,0.0000,0,0
0.477974,0,0,0,0.0000,0,0
0.526489,0,0,0,0.0000,0,0
0.579929,0,0,0,0.0000,0,0
0.638792,0,0,0,0.0000,0,0
0.703631,0,0,0,0.0000,0,0
0.77505,0,0,0,0.0000,0,0
0.853719,0,0,0,0.0000,0,0
0.940373,0,0,0,0.0000,0,0
1.03582,0,0,0,0.0000,0,0
1.14096,0,0,0,0.0000,0,0
1.25677,0,0,0,0.0000,0,0
1.38433,0,0,0,0.0000,0,0
1.52484,0,0,0,0.0000,0,0
1.67962,0,0,0,0.0000,0,0
1.8501,0,0,0,0.0000,0,0
2.03789,0,0,0,0.0000,0,0
2.24474,0,0,0,0.0000,0,0
2.47258,0,0,0,0.0000,0,0
2.72355,0,0,0,0.0000,0,0
3,0,0,0,0.0000,0,0
