threshold,n_detections,n_map->odom,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,0,0,0,0,0.0000,0,0
0.0575469,0,0,0,0,0.0000,0,0
0.0662329,0,0,0,0,0.0000,0,0
0.0762299,0,0,0,0,0.0000,0,0
0.0877359,0,0,0,0,0.0000,0,0
0.100979,0,0,0,0,0.0000,0,0
0.11622,0,0,0,0,0.0000,0,0
0.133762,0,0,0,0,0.0000,0,0
0.153952,0,0,0,0,0.0000,0,0
0.177189,0,0,0,0,0.0000,0,0
0.203934,0,0,0,0,0.0000,0,0
0.234715,0,0,0,0,0.0000,0,0
0.270142,0,0,0,0,0.0000,0,0
0.310917,0,0,0,0,0.0000,0,0
0.357846,0,0,0,0,0.0000,0,0
0.411858,0,0,0,0,0.0000,0,0
0.474023,0,0,0,0,0.0000,0,0
0.545572,0,0,0,0,0.0000,0,0
0.627919,0,0,0,0,0.0000,0,0
0.722696,0,0,0,0,0.0000,0,0
0.831778,0,0,0,0,0.0000,0,0
0.957324,0,0,0,0,0.0000,0,0
1.10182,0,0,0,0,0.0000,0,0
1.26813,0,0,0,0,0.0000,0,0
1.45954,0,0,0,0,0.0000,0,0
1.67983,0,0,0,0,0.0000,0,0
1.93339,0,0,0,0,0.0000,0,0
2.22521,0,0,0,0,0.0000,0,0
2.56107,0,0,0,0,0.0000,0,0
2.94764,0,0,0,0,0.0000,0,0
3.39255,0,0,0,0,0.0000,0,0
3.90461,0,0,0,0,0.0000,0,0
4.49396,0,0,0,0,0.0000,0,0
5.17227,0,0,0,0,0.0000,0,0
5.95297,0,0,0,0,0.0000,0,0
6.85149,0,0,0,0,0.0000,0,0
7.88564,0,0,0,0,0.0000,0,0
9.07588,0,0,0,0,0.0000,0,0
10.4458,0,0,0,0,0.0000,0,0
12.0224,0,0,0,0,0.0000,0,0
13.8371,0,0,0,0,0.0000,0,0
15.9256,0,0,0,0,0.0000,0,0
18.3294,0,0,0,0,0.0000,0,0
21.096,0,0,0,0,0.0000,0,0
24.2802,0,0,0,0,0.0000,0,0
27.945,0,0,0,0,0.0000,0,0
32.1629,0,0,0,0,0.0000,0,0
37.0175,0,0,0,0,0.0000,0,0
42.6049,0,0,0,0,0.0000,0,0
49.0356,0,0,0,0,0.0000,0,0
56.4369,0,0,0,0,0.0000,0,0
64.9554,0,0,0,0,0.0000,0,0
74.7596,0,0,0,0,0.0000,0,0
86.0436,0,0,0,0,0.0000,0,0
99.0309,0,0,0,0,0.0000,0,0
113.978,0,0,0,0,0.0000,0,0
131.182,0,0,0,0,0.0000,0,0
150.982,0,0,0,0,0.0000,0,0
173.771,0,0,0,0,0.0000,0,0
200,0,0,0,0,0.0000,0,0
