threshold,n_detections,n_map->odom,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,2,1,1,0.500417,59.9000,0,2
0.0575469,2,1,1,0.500417,59.9000,0,2
0.0662329,2,1,1,0.500417,59.9000,0,2
0.0762299,2,1,1,0.500417,59.9000,0,2
0.0877359,2,1,1,0.500417,59.9000,0,2
0.100979,2,1,1,0.500417,59.9000,0,2
0.11622,2,1,1,0.500417,59.9000,0,2
0.133762,2,1,1,0.500417,59.9000,0,2
0.153952,2,1,1,0.500417,59.9000,0,2
0.177189,2,1,1,0.500417,59.9000,0,2
0.203934,2,1,1,0.500417,59.9000,0,2
0.234715,2,1,1,0.500417,59.9000,0,2
0.270142,2,1,1,0.492077,59.9000,0,2
0.310917,14,1,13,0.108007,49.9000,9,2
0.357846,1,1,0,0.000417014,0.0000,0,1
0.411858,1,1,0,0.000417014,0.0000,0,1
0.474023,1,1,0,0.000417014,0.0000,0,1
0.545572,1,1,0,0.000417014,0.0000,0,1
0.627919,1,1,0,0.000417014,0.0000,0,1
0.722696,1,1,0,0.000417014,0.0000,0,1
0.831778,1,1,0,0.000417014,0.0000,0,1
0.957324,1,1,0,0.000417014,0.0000,0,1
1.10182,1,1,0,0.000417014,0.0000,0,1
1.26813,1,1,0,0.000417014,0.0000,0,1
1.45954,1,1,0,0.000417014,0.0000,0,1
1.67983,1,1,0,0.000417014,0.0000,0,1
1.93339,1,1,0,0.000417014,0.0000,0,1
2.22521,1,1,0,0.000417014,0.0000,0,1
2.56107,1,1,0,0.000417014,0.0000,0,1
2.94764,1,1,0,0.000417014,0.0000,0,1
3.39255,1,1,0,0.000417014,0.0000,0,1
3.90461,1,1,0,0.000417014,0.0000,0,1
4.49396,1,1,0,0.000417014,0.0000,0,1
5.17227,1,1,0,0.000417014,0.0000,0,1
5.95297,1,1,0,0.000417014,0.0000,0,1
6.85149,1,1,0,0.000417014,0.0000,0,1
7.88564,1,1,0,0.000417014,0.0000,0,1
9.07588,1,1,0,0.000417014,0.0000,0,1
10.4458,1,1,0,0.000417014,0.0000,0,1
12.0224,1,1,0,0.000417014,0.0000,0,1
13.8371,1,1,0,0.000417014,0.0000,0,1
15.9256,1,1,0,0.000417014,0.0000,0,1
18.3294,1,1,0,0.000417014,0.0000,0,1
21.096,1,1,0,0.000417014,0.0000,0,1
24.2802,1,1,0,0.000417014,0.0000,0,1
27.945,1,1,0,0.000417014,0.0000,0,1
32.1629,1,1,0,0.000417014,0.0000,0,1
37.0175,1,1,0,0.000417014,0.0000,0,1
42.6049,0,0,0,0,0.0000,0,0
49.0356,0,0,0,0,0.0000,0,0
56.4369,0,0,0,0,0.0000,0,0
64.9554,0,0,0,0,0.0000,0,0
74.7596,0,0,0,0,0.0000,0,0
86.0436,0,0,0,0,0.0000,0,0
99.0309,0,0,0,0,0.0000,0,0
113.978,0,0,0,0,0.0000,0,0
131.182,0,0,0,0,0.0000,0,0
150.982,0,0,0,0,0.0000,0,0
173.771,0,0,0,0,0.0000,0,0
200,0,0,0,0,0.0000,0,0
