threshold,n_detections,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,22,22,0.222124,28.8213,,
0.0575469,22,22,0.220187,28.6412,,
0.0662329,22,22,0.21684,28.3800,,
0.0762299,22,22,0.212436,28.0798,,
0.0877359,22,22,0.20997,27.9994,,
0.100979,24,24,0.205214,26.6792,,
0.11622,24,24,0.19993,26.2995,,
0.133762,24,24,0.195702,25.9804,,
0.153952,24,24,0.189184,25.5005,,
0.177189,26,26,0.183371,24.0004,,
0.203934,26,26,0.174036,23.3193,,
0.234715,26,26,0.167166,22.7999,,
0.270142,29,29,0.156068,19.3402,,
0.310917,30,30,0.144795,17.2795,,
0.357846,31,31,0.131584,15.4999,,
0.411858,30,30,0.116787,13.9200,,
0.474023,30,30,0.101286,11.7808,,
0.545572,30,30,0.0834948,8.8797,,
0.627919,27,27,0.0642945,6.7802,,
0.722696,24,24,0.0228994,3.7999,,
0.831778,0,0,0,0.0000,,
0.957324,0,0,0,0.0000,,
1.10182,0,0,0,0.0000,,
1.26813,0,0,0,0.0000,,
1.45954,0,0,0,0.0000,,
1.67983,0,0,0,0.0000,,
1.93339,0,0,0,0.0000,,
2.22521,0,0,0,0.0000,,
2.56107,0,0,0,0.0000,,
2.94764,0,0,0,0.0000,,
3.39255,0,0,0,0.0000,,
3.90461,0,0,0,0.0000,,
4.49396,0,0,0,0.0000,,
5.17227,0,0,0,0.0000,,
5.95297,0,0,0,0.0000,,
6.85149,0,0,0,0.0000,,
7.88564,0,0,0,0.0000,,
9.07588,0,0,0,0.0000,,
10.4458,0,0,0,0.0000,,
12.0224,0,0,0,0.0000,,
13.8371,0,0,0,0.0000,,
15.9256,0,0,0,0.0000,,
18.3294,0,0,0,0.0000,,
21.096,0,0,0,0.0000,,
24.2802,0,0,0,0.0000,,
27.945,0,0,0,0.0000,,
32.1629,0,0,0,0.0000,,
37.0175,0,0,0,0.0000,,
42.6049,0,0,0,0.0000,,
49.0356,0,0,0,0.0000,,
56.4369,0,0,0,0.0000,,
64.9554,0,0,0,0.0000,,
74.7596,0,0,0,0.0000,,
86.0436,0,0,0,0.0000,,
99.0309,0,0,0,0.0000,,
113.978,0,0,0,0.0000,,
131.182,0,0,0,0.0000,,
150.982,0,0,0,0.0000,,
173.771,0,0,0,0.0000,,
200,0,0,0,0.0000,,
