threshold,n_detections,n_odom->base_footprint,frac_samples_over,flagged_s,n_false_positive,n_windows_hit
0.05,1,1,0.956315,108.5600,,
0.0575469,1,1,0.956315,108.5600,,
0.0662329,1,1,0.956139,108.5400,,
0.0762299,1,1,0.955963,108.5200,,
0.0877359,1,1,0.955787,108.5001,,
0.100979,1,1,0.955787,108.5001,,
0.11622,1,1,0.955258,108.4400,,
0.133762,1,1,0.955082,108.4203,,
0.153952,1,1,0.95473,108.3800,,
0.177189,1,1,0.954553,108.3601,,
0.203934,1,1,0.954025,108.3001,,
0.234715,1,1,0.953673,108.2602,,
0.270142,52,52,0.0207856,12.0010,,
0.310917,0,0,0,0.0000,,
0.357846,0,0,0,0.0000,,
0.411858,0,0,0,0.0000,,
0.474023,0,0,0,0.0000,,
0.545572,0,0,0,0.0000,,
0.627919,0,0,0,0.0000,,
0.722696,0,0,0,0.0000,,
0.831778,0,0,0,0.0000,,
0.957324,0,0,0,0.0000,,
1.10182,0,0,0,0.0000,,
1.26813,0,0,0,0.0000,,
1.45954,0,0,0,0.0000,,
1.67983,0,0,0,0.0000,,
1.93339,0,0,0,0.0000,,
2.22521,0,0,0,0.0000,,
2.56107,0,0,0,0.0000,,
2.94764,0,0,0,0.0000,,
3.39255,0,0,0,0.0000,,
3.90461,0,0,0,0.0000,,
4.49396,0,0,0,0.0000,,
5.17227,0,0,0,0.0000,,
5.95297,0,0,0,0.0000,,
6.85149,0,0,0,0.0000,,
7.88564,0,0,0,0.0000,,
9.07588,0,0,0,0.0000,,
10.4458,0,0,0,0.0000,,
12.0224,0,0,0,0.0000,,
13.8371,0,0,0,0.0000,,
15.9256,0,0,0,0.0000,,
18.3294,0,0,0,0.0000,,
21.096,0,0,0,0.0000,,
24.2802,0,0,0,0.0000,,
27.945,0,0,0,0.0000,,
32.1629,0,0,0,0.0000,,
37.0175,0,0,0,0.0000,,
42.6049,0,0,0,0.0000,,
49.0356,0,0,0,0.0000,,
56.4369,0,0,0,0.0000,,
64.9554,0,0,0,0.0000,,
74.7596,0,0,0,0.0000,,
86.0436,0,0,0,0.0000,,
99.0309,0,0,0,0.0000,,
113.978,0,0,0,0.0000,,
131.182,0,0,0,0.0000,,
150.982,0,0,0,0.0000,,
173.771,0,0,0,0.0000,,
200,0,0,0,0.0000,,
