timestamp_us,x_m,y_m,z_m,yaw_rad
1693731518666691,4.0315,3.6846,0.0443,0.78037
1693731518733333,4.0216,3.687,0.0449,0.77885
1693731518799985,4.015,3.6882,0.0456,0.77701
1693731518866631,4.0134,3.6889,0.046,0.77462
1693731518933280,4.0127,3.6896,0.047,0.77139
1693731518999934,4.0129,3.6903,0.0477,0.76854
1693731519066598,4.0135,3.6912,0.0484,0.76547
1693731519133256,4.0143,3.6921,0.0491,0.76239
1693731519199904,4.0142,3.6929,0.0495,0.76208
1693731519266571,4.0131,3.6935,0.0499,0.76433
1693731519333257,4.0121,3.6942,0.0502,0.76575
1693731519399917,4.0119,3.6951,0.0501,0.7653
1693731519466570,4.0113,3.6964,0.0501,0.76558
1693731519533234,4.0107,3.6976,0.0503,0.76638
1693731519599898,4.0103,3.6987,0.0504,0.76725
1693731519666510,4.01,3.7,0.0502,0.76932
1693731519733127,4.01,3.7014,0.0502,0.77208
1693731519799757,4.01,3.7028,0.0512,0.77302
1693731519866382,4.0102,3.704,0.0524,0.77454
1693731519933011,4.0101,3.7051,0.0529,0.77731
1693731519999651,4.0102,3.7059,0.0534,0.78095
1693731520066293,4.0102,3.7065,0.0539,0.78493
1693731520132927,4.0102,3.707,0.0545,0.78946
1693731520199572,4.0104,3.7076,0.0551,0.79412
1693731520266219,4.0103,3.7082,0.0555,0.79889
1693731520332861,4.0105,3.7088,0.0557,0.80329
1693731520399531,4.0105,3.7093,0.0556,0.80882
1693731520466174,4.0105,3.7098,0.0555,0.81408
1693731520532829,4.0105,3.7103,0.0553,0.8183
1693731520599495,4.0105,3.711,0.0551,0.82288
1693731520666143,4.01,3.7118,0.0549,0.82759
1693731520732814,4.0122,3.7374,0.0501,0.86086
1693731520799480,3.9988,3.7664,0.0486,0.86002
1693731520866143,3.9865,3.793,0.0481,0.83181
1693731520932803,3.9813,3.8157,0.0498,0.81635
1693731520999474,3.9715,3.8399,0.0534,0.82824
1693731521066140,3.959,3.8638,0.0573,0.83233
