timestamp_us,x_m,y_m,z_m,yaw_rad
1693731671675157,3.485,4.0918,0.0196,1.61099
1693731671741780,3.4657,4.0817,0.0219,1.60958
1693731671808417,3.4551,4.0772,0.0225,1.61132
1693731671875093,3.4483,4.0728,0.0229,1.61145
1693731671941722,3.444,4.0697,0.0235,1.61148
1693731672008363,3.4409,4.068,0.0238,1.61175
1693731672075012,3.439,4.0663,0.0241,1.61145
1693731672141649,3.4372,4.065,0.0241,1.61127
1693731672208300,3.4357,4.0641,0.0241,1.61068
1693731672275026,3.4339,4.0636,0.0239,1.60941
1693731672341668,3.4324,4.0635,0.0238,1.60718
1693731672408321,3.4312,4.0631,0.0237,1.60429
1693731672474977,3.4306,4.063,0.0236,1.6015
1693731672541626,3.4301,4.0629,0.0235,1.5988
1693731672608284,3.4293,4.0627,0.0234,1.59614
1693731672674946,3.4288,4.0627,0.0232,1.5935
1693731672741598,3.4282,4.063,0.023,1.59093
1693731672808254,3.4278,4.0633,0.0228,1.58854
1693731672874915,3.4272,4.0633,0.0229,1.58686
1693731672941570,3.4267,4.0631,0.0228,1.58565
1693731673008236,3.4262,4.0632,0.0226,1.58399
1693731673074892,3.4258,4.0639,0.0225,1.5823
1693731673141550,3.4254,4.0643,0.0223,1.58066
1693731673208218,3.4246,4.0642,0.0222,1.57976
1693731673274879,3.4232,4.0641,0.0218,1.57996
1693731673341540,3.4216,4.0639,0.0217,1.57975
1693731673408212,3.4194,4.0637,0.0217,1.57915
1693731673474884,3.4164,4.0642,0.0218,1.57754
1693731673541544,3.4123,4.0648,0.0218,1.57555
1693731673608218,3.4075,4.0658,0.0219,1.57391
1693731673674910,3.4016,4.0674,0.0219,1.57314
1693731673741569,3.2061,4.1158,0.0183,1.56724
1693731673808241,3.1438,4.1445,0.0187,1.60045
1693731673874902,3.0862,4.173,0.0204,1.62425
1693731673941565,3.0293,4.1933,0.0297,1.63242
1693731674008237,2.9836,4.2379,0.0446,1.68015
1693731674074931,2.9342,4.2569,0.0628,1.68602
1693731674141594,2.893,4.2851,0.0866,1.66653
1693731674208265,2.8401,4.299,0.1052,1.6665
1693731674274961,2.7836,4.3309,0.121,1.65609
1693731674341619,2.7509,4.3441,0.1316,1.60514
1693731674408276,2.7031,4.3458,0.141,1.60854
1693731674474940,2.6399,4.356,0.1437,1.64486
1693731674541598,2.5774,4.3674,0.1417,1.67848
1693731674608274,2.512,4.3707,0.142,1.68479
1693731674675014,2.4408,4.3727,0.1447,1.67805
1693731674741668,2.3888,4.3824,0.1508,1.64046
1693731674808335,2.3382,4.3865,0.1582,1.61296
1693731674874996,2.2888,4.3971,0.1618,1.60724
1693731674941652,2.2371,4.4058,0.1574,1.59733
1693731675008321,2.1691,4.4102,0.1508,1.56981
1693731675075032,2.1089,4.42,0.1404,1.56331
1693731675141691,2.029,4.4248,0.13,1.55572
1693731675208355,1.9847,4.4309,0.1221,1.58418
1693731675275015,1.9256,4.4399,0.1196,1.5791
1693731675341703,1.8807,4.4468,0.1227,1.58137
1693731675408371,1.8191,4.4509,0.1318,1.58164
1693731675475029,1.7478,4.4494,0.1376,1.5894
1693731675541684,1.6682,4.4504,0.1428,1.5907
1693731675608351,1.6125,4.4475,0.1464,1.62919
1693731675675014,1.5237,4.442,0.1446,1.65781
1693731675741671,1.4595,4.4338,0.1362,1.67035
1693731675808344,1.3634,4.4246,0.1297,1.66235
1693731675875006,1.2959,4.4266,0.1284,1.68171
1693731675941716,1.2138,4.4118,0.1305,1.67147
1693731676008386,1.1621,4.4092,0.1403,1.64164
1693731676075043,1.0867,4.4031,0.1491,1.62247
1693731676141706,1.0325,4.4005,0.1535,1.60693
1693731676208420,0.9742,4.3915,0.1491,1.58473
1693731676275133,0.9288,4.3812,0.1385,1.56924
1693731676341789,0.8792,4.3762,0.128,1.55266
1693731676408504,0.8282,4.3676,0.1243,1.55123
1693731676475209,0.7732,4.3628,0.1206,1.56949
1693731676541868,0.7121,4.3456,0.1205,1.56745
1693731676608562,0.6167,4.3383,0.1285,1.55299
1693731676675207,0.5308,4.3327,0.1313,1.56017
1693731676741888,0.4518,4.3274,0.1338,1.57341
1693731676808574,0.3762,4.3161,0.1312,1.5888
1693731676875224,0.2983,4.3179,0.1286,1.6074
1693731676941877,0.2307,4.3107,0.1204,1.61311
1693731677008540,0.1448,4.3027,0.1159,1.6005
1693731677075189,0.0772,4.3015,0.1128,1.58456
1693731677141881,0.0273,4.2881,0.1163,1.53549
1693731677208540,-0.04,4.2913,0.1236,1.52697
1693731677275198,-0.0993,4.2842,0.1269,1.51096
1693731677341850,-0.1512,4.2821,0.1298,1.50632
1693731677408561,-0.2101,4.2762,0.1254,1.50471
1693731677475214,-0.2794,4.2721,0.1191,1.50155
1693731677541860,-0.3574,4.2757,0.1102,1.51632
1693731677608521,-0.4242,4.2758,0.1058,1.53968
1693731677675257,-0.5032,4.278,0.1036,1.55852
1693731677741915,-0.5876,4.2708,0.1059,1.55498
1693731677808577,-0.6757,4.2769,0.1104,1.55122
1693731677875284,-0.7626,4.2817,0.1107,1.55557
1693731677941932,-0.8361,4.2874,0.1126,1.58827
1693731678008591,-0.9089,4.2863,0.1148,1.61715
1693731678075244,-0.9805,4.3011,0.1183,1.64593
1693731678141894,-1.0595,4.3005,0.1178,1.66561
1693731678208555,-1.1259,4.3044,0.1229,1.65128
1693731678275212,-1.1934,4.3081,0.126,1.64994
1693731678341908,-1.2651,4.3098,0.1344,1.65393
1693731678408567,-1.3313,4.3081,0.1417,1.65652
1693731678475220,-1.4064,4.3091,0.1479,1.66806
1693731678541872,-1.4708,4.3059,0.1457,1.673
1693731678608543,-1.5416,4.3117,0.1363,1.69364
1693731678675286,-1.6175,4.3165,0.1212,1.72308
1693731678741936,-1.696,4.3299,0.1095,1.75438
1693731678808591,-1.7754,4.3353,0.1036,1.76829
1693731678875257,-1.8663,4.3396,0.1003,1.80335
1693731678941907,-1.9665,4.4142,0.107,1.85203
1693731679075232,-2.1723,4.4806,0.1152,1.92628
1693731679141888,-2.2534,4.4718,0.1143,1.92806
1693731679208552,-2.3429,4.4809,0.1104,1.9464
1693731679275214,-2.4353,4.4813,0.1082,1.98532
1693731679341869,-2.524,4.4818,0.1092,2.01108
1693731679408538,-2.6154,4.4666,0.1064,2.04334
1693731679475204,-2.6991,4.4538,0.1088,2.05736
1693731679541892,-2.7876,4.4535,0.1137,2.08375
1693731679608585,-2.8765,4.4493,0.1191,2.10983
1693731679675244,-2.9627,4.455,0.1242,2.14832
1693731679741926,-3.0434,4.4547,0.1245,2.19367
1693731679808620,-3.1128,4.439,0.1206,2.23834
1693731679875293,-3.1823,4.42,0.1155,2.30045
1693731679941971,-3.2426,4.3989,0.1119,2.34921
1693731680008632,-3.3256,4.386,0.1054,2.40025
1693731680075343,-3.4117,4.366,0.1018,2.41827
1693731680141991,-3.4856,4.3386,0.0916,2.46893
1693731680208703,-3.5642,4.3092,0.0832,2.51856
1693731680275356,-3.6367,4.2674,0.0695,2.59151
1693731680342006,-3.7072,4.226,0.0609,2.65054
1693731680408714,-3.7471,4.1498,0.0545,2.72288
1693731680475376,-3.8166,4.0823,0.0496,2.7674
1693731680542022,-3.8248,3.9912,0.0498,2.7954
1693731680608684,-3.8863,3.9314,0.0529,2.80168
1693731680675348,-3.9395,3.884,0.0591,2.81136
1693731680742013,-3.9847,3.837,0.0667,2.81832
1693731680808684,-4.0259,3.7924,0.0717,2.846
1693731680875344,-4.0514,3.7414,0.0727,2.89024
1693731680942022,-4.0778,3.6883,0.0659,2.92227
1693731681008702,-4.1116,3.6319,0.0561,2.97328
1693731681075361,-4.1312,3.5703,0.0459,3.02181
1693731681142017,-4.1585,3.5129,0.0388,3.06242
1693731681208683,-4.1898,3.451,0.0386,3.1012
1693731681275350,-4.2172,3.3856,0.0419,3.12925
1693731681342028,-4.2217,3.3156,0.0452,-3.12661
1693731681408698,-4.2243,3.2493,0.0417,-3.10059
1693731681475363,-4.2434,3.1776,0.0385,-3.10041
1693731681542035,-4.2537,3.1075,0.0271,-3.09843
1693731681608716,-4.2609,3.0373,0.0139,-3.09674
1693731681675373,-4.2725,2.9729,0.0056,-3.09629
1693731681742031,-4.296,2.9077,0.0077,-3.14056
1693731681808730,-4.2989,2.8456,0.0083,-3.13924
1693731681875390,-4.3124,2.7824,0.012,-3.13738
1693731681942062,-4.3255,2.7251,0.0124,3.13957
1693731682008726,-4.3194,2.6623,0.0122,3.1155
1693731682075384,-4.318,2.5891,0.0075,3.09945
1693731682142055,-4.2996,2.5231,0.003,3.08426
1693731682208723,-4.2833,2.4601,0.0026,3.08741
1693731682275386,-4.2894,2.3846,-0.002,3.0606
1693731682342049,-4.3022,2.3065,0.0028,3.02799
1693731682408719,-4.3017,2.2477,0.0153,2.98359
