timestamp_us,x_m,y_m,z_m,yaw_rad
1693922456400213,-91.0591,-8.6758,-11.3381,-1.37595
1693922456499845,-91.058,-8.6737,-11.3398,-1.37642
1693922456599809,-91.0571,-8.6717,-11.3426,-1.37655
1693922456699658,-91.0548,-8.6696,-11.3433,-1.3766
1693922456799810,-91.054,-8.6709,-11.3429,-1.37666
1693922456899957,-91.0532,-8.6706,-11.344,-1.37665
1693922456999938,-91.0528,-8.6694,-11.3444,-1.37669
1693922457099903,-91.0535,-8.6694,-11.3449,-1.37672
1693922457199564,-91.0536,-8.6688,-11.3458,-1.37673
1693922457299808,-91.0536,-8.6682,-11.3464,-1.37675
1693922457399825,-91.0535,-8.6684,-11.3469,-1.37684
1693922457499967,-91.0542,-8.6683,-11.3469,-1.37694
1693922457599843,-91.0536,-8.6679,-11.3475,-1.37694
1693922457699590,-91.0532,-8.6674,-11.348,-1.37697
1693922457800108,-91.0529,-8.6676,-11.3476,-1.3769
1693922457899780,-91.0514,-8.6674,-11.3476,-1.37696
1693922457999918,-91.0492,-8.6675,-11.3475,-1.37701
1693922458099829,-91.0484,-8.6676,-11.3474,-1.37708
1693922458199886,-91.0473,-8.6673,-11.3477,-1.37715
1693922458300480,-91.0462,-8.6675,-11.3475,-1.37718
1693922458600343,-91.0178,-8.6616,-11.3421,-1.38555
1693922458699956,-91.0455,-8.6611,-11.3518,-1.36876
1693922458799995,-91.0386,-8.6568,-11.347,-1.366
1693922459000410,-91.06,-8.6616,-11.3547,-1.36066
1693922459100206,-91.0628,-8.657,-11.346,-1.37083
1693922459200309,-91.0982,-8.6698,-11.3458,-1.36699
1693922459499884,-91.1635,-8.6704,-11.3512,-1.36331
1693922459599682,-91.2204,-8.6766,-11.3612,-1.37196
1693922459699898,-91.2836,-8.6816,-11.3512,-1.36517
1693922459800415,-91.3486,-8.6812,-11.3585,-1.36991
1693922459900287,-91.4385,-8.6926,-11.3664,-1.37488
1693922459999962,-91.5696,-8.7025,-11.3648,-1.37791
1693922460200384,-91.7293,-8.7057,-11.3703,-1.3784
1693922460300309,-91.8451,-8.7024,-11.3656,-1.36812
1693922460399920,-91.9476,-8.711,-11.3831,-1.36605
1693922460799768,-92.5505,-8.7452,-11.3742,-1.39216
1693922460900266,-92.7507,-8.7579,-11.3899,-1.39754
1693922461099909,-93.0336,-8.766,-11.3965,-1.37035
1693922461199880,-93.1648,-8.7701,-11.4013,-1.38517
1693922461299906,-93.3715,-8.7854,-11.3874,-1.3942
1693922461399781,-93.5192,-8.8156,-11.3833,-1.39143
1693922461499998,-93.7841,-8.8088,-11.397,-1.39649
1693922461699989,-94.1312,-8.8162,-11.3981,-1.39841
1693922461900005,-94.4052,-8.8302,-11.3823,-1.38404
1693922461999958,-94.5763,-8.8384,-11.4067,-1.40334
1693922462699997,-95.8022,-8.8648,-11.4261,-1.33206
1693922462899833,-96.0462,-8.8376,-11.4474,-1.46808
1693922463199890,-96.5734,-8.8548,-11.4462,-1.2813
1693922463300447,-96.7115,-8.8571,-11.4534,-1.40506
1693922463399892,-96.8997,-8.889,-11.4653,-1.35873
1693922463499887,-97.0529,-8.8942,-11.455,-1.36176
1693922463600411,-97.2169,-8.9096,-11.4625,-1.36972
1693922463700069,-97.3966,-8.9327,-11.4851,-1.37527
1693922463799948,-97.5585,-8.9403,-11.4774,-1.38785
1693922463899900,-97.719,-8.9581,-11.4988,-1.38443
1693922463999931,-97.892,-8.9478,-11.4863,-1.38291
1693922464099757,-98.1249,-8.9567,-11.484,-1.39113
1693922464299989,-98.3976,-8.9849,-11.4882,-1.39508
1693922464400155,-98.5635,-8.9849,-11.4881,-1.38695
1693922464499846,-98.7236,-8.9922,-11.4829,-1.39759
1693922464599907,-98.8879,-8.9977,-11.5028,-1.3973
1693922464899885,-99.4548,-8.9952,-11.5084,-1.41667
1693922465099974,-99.7962,-9.0332,-11.4978,-1.40196
1693922465300034,-100.1331,-9.031,-11.4995,-1.41494
1693922465500139,-100.3782,-9.0227,-11.5046,-1.43309
1693922465599945,-100.56,-9.0345,-11.4987,-1.43692
1693922465700192,-100.7207,-9.0534,-11.5111,-1.45987
1693922465800240,-100.8907,-9.0522,-11.5102,-1.47457
1693922465899896,-101.0575,-9.0564,-11.5232,-1.49929
1693922466000079,-101.2382,-9.0231,-11.5235,-1.52495
1693922466099835,-101.3889,-8.9861,-11.5348,-1.54798
1693922466199969,-101.582,-8.9964,-11.529,-1.57341
1693922466300121,-101.7346,-8.9603,-11.5273,-1.5994
1693922466400048,-101.9114,-8.9581,-11.5525,-1.62668
1693922466500487,-102.0591,-8.9016,-11.5531,-1.64779
1693922466600256,-102.2322,-8.8975,-11.5455,-1.68137
1693922466700024,-102.3996,-8.8233,-11.5579,-1.6946
1693922466800047,-102.6348,-8.7815,-11.5667,-1.73301
1693922466999987,-102.9455,-8.6752,-11.6011,-1.7977
1693922467200541,-103.1681,-8.5942,-11.6074,-1.81873
1693922467300177,-103.3115,-8.5698,-11.5987,-1.85372
1693922467400101,-103.4173,-8.5265,-11.6128,-1.88717
1693922467500185,-103.563,-8.4364,-11.6236,-1.89917
