t_s,yaw_sigma_rad
-0.451752,0.000000
4.348248,0.084096
4.948248,0.112530
5.548248,0.123721
6.148248,0.133020
6.748248,0.129488
7.348248,0.133489
7.948248,0.139679
8.548248,0.138726
9.148248,0.140595
9.748248,0.142925
10.348248,0.147972
10.948248,0.150962
11.548248,0.152086
12.148248,0.152387
12.748248,0.148937
13.348248,0.155461
13.948248,0.147691
14.548248,0.148021
15.148248,0.144204
15.748248,0.142179
16.348248,0.141867
16.948248,0.151698
17.548248,0.150175
18.148248,0.147391
18.748248,0.146675
19.348248,0.149048
19.948248,0.145712
20.548248,0.152432
21.148248,0.160754
21.748248,0.164560
22.348248,0.172986
22.948248,0.160458
23.548248,0.163796
24.148248,0.171616
24.748248,0.171396
25.349248,0.151970
25.948248,0.150537
26.548248,0.154749
27.148248,0.158442
27.748248,0.154900
28.348248,0.154858
28.948248,0.152538
29.548248,0.154421
30.148248,0.150747
30.748248,0.157547
31.348248,0.146761
31.948248,0.151790
32.548248,0.155025
33.148248,0.152321
33.748248,0.156056
34.348248,0.161601
34.948248,0.151720
35.548248,0.156161
36.148248,0.167205
36.748248,0.175879
37.348248,0.166818
37.948248,0.156128
38.548248,0.155738
39.148248,0.159843
39.748248,0.160480
40.348248,0.165738
40.948248,0.153733
41.548248,0.143051
42.148248,0.134015
42.748248,0.133749
43.348248,0.139866
43.948248,0.149758
44.548248,0.150073
45.148248,0.150877
45.749248,0.166152
46.348248,0.164917
46.948248,0.172250
47.548248,0.163825
48.148248,0.169107
48.748248,0.167198
49.348248,0.161636
49.948248,0.163163
50.548248,0.164571
51.148248,0.161013
51.748248,0.168458
52.348248,0.177102
52.948248,0.170693
53.548248,0.173689
54.148248,0.170829
54.748248,0.168834
55.348248,0.174555
55.948248,0.170651
56.548248,0.160477
57.148248,0.145965
57.748248,0.146102
58.348248,0.147265
58.948248,0.138873
59.548248,0.136227
60.148248,0.143966
60.748248,0.148038
61.348248,0.153904
61.948248,0.157020
62.548248,0.156246
63.148248,0.164229
88.948248,0.911627
89.548248,0.868679
90.148248,0.777793
90.748248,0.718990
91.348248,0.629282
91.948248,0.537626
92.548248,0.470558
93.148248,0.413826
93.748248,0.347609
94.348248,0.276271
94.948248,0.214969
95.548248,0.175494
96.148248,0.174328
96.748248,0.162049
97.348248,0.159005
97.948248,0.159790
98.548248,0.144810
99.148248,0.151739
99.748248,0.149869
100.348248,0.146433
100.948248,0.149734
101.548248,0.161248
102.148248,0.153379
102.748248,0.151980
103.348248,0.160099
103.948248,0.149234
104.548248,0.153007
105.148248,0.156032
105.748248,0.154076
106.348248,0.156515
106.949248,0.174520
107.548248,0.174352
108.148248,0.181824
108.748248,0.179744
109.348248,0.178299
109.948248,0.176574
110.548248,0.174712
111.148248,0.178848
111.748248,0.165773
112.348248,0.159737
112.948248,0.146360
113.548248,0.153158
114.148248,0.163521
114.748248,0.159594
115.348248,0.148208
115.948248,0.152143
116.548248,0.149545
117.148248,0.164121
117.748248,0.160180
118.348248,0.152875
118.948248,0.159363
119.548248,0.152055
120.148248,0.149779
120.748248,0.150183
121.348248,0.149801
121.948248,0.157278
122.548248,0.159307
123.148248,0.157308
123.748248,0.158548
124.348248,0.171001
124.948248,0.162358
125.548248,0.167165
126.148248,0.171459
126.748248,0.176417
127.348248,0.175171
127.948248,0.167959
128.548248,0.175090
129.149248,0.167057
129.748248,0.161527
130.348248,0.153367
130.948248,0.152524
131.548248,0.144561
132.148248,0.139556
132.748248,0.144283
133.348248,0.142962
133.948248,0.142714
134.548248,0.137375
135.148248,0.147100
135.748248,0.150701
136.348248,0.151282
136.948248,0.142720
137.548248,0.145474
138.148248,0.146384
138.748248,0.146446
139.348248,0.151936
139.948248,0.156908
140.548248,0.151043
141.148248,0.151405
141.748248,0.159024
142.348248,0.165593
142.948248,0.163268
143.548248,0.166937
144.148248,0.170532
144.748248,0.160666
145.348248,0.166843
145.948248,0.164335
146.548248,0.164110
147.148248,0.159973
147.748248,0.147868
148.348248,0.146466
148.948248,0.155492
149.548248,0.187703
150.148248,0.190517
150.948248,0.188007
151.548248,0.188773
152.148248,0.182347
152.748248,0.161820
153.348248,0.165366
154.148248,0.177626
154.748248,0.168859
155.548248,0.173861
156.148248,0.183469
156.748248,0.174929
157.348248,0.164114
157.948248,0.191123
158.748248,0.194651
159.548248,0.208656
160.148248,0.222150
160.748248,0.198461
161.348248,0.185651
162.148248,0.184581
162.748248,0.172195
163.548248,0.180166
164.148248,0.203027
164.748248,0.201264
165.348248,0.181592
165.948248,0.199783
166.748248,0.201965
167.348248,0.192732
168.148248,0.204750
168.748248,0.197897
169.348248,0.186159
170.148248,0.198634
170.748248,0.195888
171.348248,0.187573
171.948248,0.194289
172.548248,0.190485
173.148248,0.183869
173.748248,0.192798
174.348248,0.178268
175.148248,0.182811
175.748248,0.188979
176.348248,0.174205
176.948248,0.192439
177.548248,0.204413
178.148248,0.189982
178.748248,0.190436
179.348248,0.174057
179.948248,0.168916
180.548248,0.159420
181.148248,0.158280
181.748248,0.156751
182.348248,0.153078
182.948248,0.156478
183.548248,0.154186
184.148248,0.168706
184.548248,0.189932
184.948248,0.822992
185.148248,1.004747
185.348248,1.026669
186.348248,1.023590
187.548248,0.947696
188.148248,0.852168
188.548248,0.947327
188.748248,1.095191
188.948248,1.207754
191.348248,1.191020
192.148248,1.176631
193.948248,1.107939
194.548248,1.068555
195.148248,1.008816
195.748248,0.887037
196.348248,0.770077
196.948248,0.647188
197.548248,0.544783
198.148248,0.489808
198.748248,0.413091
199.348248,0.358133
199.948248,0.340269
200.548248,0.292456
201.148248,0.267589
202.348248,0.296385
203.148248,0.296923
203.948248,0.291610
204.748248,0.401302
205.548248,0.757607
206.148248,0.713304
207.148248,0.954949
208.348248,1.023685
208.948248,1.138385
211.348248,1.060838
211.748248,1.103496
234.948248,1.150407
242.748248,1.376844
243.148248,1.332507
243.748248,1.352321
244.548248,1.248020
245.148248,1.237948
245.948248,1.252886
252.348248,1.255252
262.348248,1.489192
266.148248,1.604906
266.948248,1.735347
268.948248,1.653069
303.348248,1.641969
306.148248,1.805370
306.948248,1.803144
308.348248,1.743976
308.948248,1.749103
310.949248,1.761523
312.748248,1.805977
314.948248,1.662406
316.548248,1.636916
318.149248,1.636787
322.948248,1.695993
324.148248,1.680557
325.148248,1.870404
326.348248,1.864186
327.148248,1.794072
328.148248,1.769335
328.748248,1.830378
329.948248,1.814591
330.548248,1.902616
331.148248,2.023411
332.948248,2.033031
334.548248,1.966299
335.148248,2.073866
337.148248,2.264828
348.549248,2.400044
349.149248,2.127258
350.149248,2.278244
351.549248,2.281354
351.949248,2.299824
352.349248,2.259704
353.549248,2.215184
354.149248,2.032252
354.549248,1.992987
354.949248,1.972400
355.349248,2.011700
355.949248,1.959592
